rank,config,train_sharpe,val_sharpe,val_std,gap,time_s
77,ResMLP h=16 d=2 do=0.6 wd=0.2,4.2459,1.7265,0.4717,2.5194,1.81
78,ResMLP h=16 d=2 do=0.2 wd=0.1,4.9089,1.7188,0.6222,3.1901,1.26
79,ResMLP h=16 d=1 do=0.2 wd=0.1,4.7566,1.7087,0.522,3.0479,0.88
80,ResMLP h=16 d=2 do=0.4 wd=0.3,4.1472,1.6955,0.2227,2.4517,1.76
81,ResMLP h=24 d=2 do=0.6 wd=0.3,4.3346,1.6817,0.4505,2.6529,2.6
82,ResMLP h=16 d=1 do=0.2 wd=0.3,3.846,1.6707,0.7149,2.1753,1.25
83,ResMLP h=16 d=3 do=0.4 wd=0.3,3.8832,1.6691,0.3979,2.2141,2.84
84,ResMLP h=16 d=2 do=0.2 wd=0.2,3.6109,1.6627,1.2257,1.9482,1.66
85,ResMLP h=8 d=2 do=0.6 wd=0.1,5.3637,1.6614,0.725,3.7022,2.62
86,ResMLP h=24 d=2 do=0.4 wd=0.1,5.07,1.6598,0.1693,3.4102,1.56
87,ResMLP h=16 d=1 do=0.6 wd=0.2,3.9739,1.6511,0.6505,2.3229,1.43
88,ResMLP h=8 d=2 do=0.6 wd=0.2,3.6421,1.6273,0.9294,2.0148,1.82
