rank,config,train_sharpe,val_sharpe,gap,stopped_epoch,time_s
122,Bottle n=5 e=12 do=0.4 wd=0.1,2.7545,2.9086,-0.1541,81,0.21
123,Bottle n=3 e=20 do=0.5 wd=0.05,2.7088,2.9073,-0.1985,81,0.22
124,Shallow h=8 do=0.7 wd=0.2,3.4774,2.899,0.5784,159,0.16
125,"Deep h=16,8 do=0.5 wd=0.1 lr=0.005",3.3027,2.8985,0.4042,178,0.32
126,"Deep h=8,4 do=0.5 wd=0.2 lr=0.005",3.1544,2.8903,0.2641,244,0.46
127,"Deep h=16,8 do=0.5 wd=0.3 lr=0.005",2.7678,2.8833,-0.1155,87,0.16
128,"Deep h=12,6 do=0.6 wd=0.2 lr=0.01",2.7645,2.881,-0.1165,89,0.17
129,"Deep h=8,4 do=0.5 wd=0.3 lr=0.02",2.7548,2.8804,-0.1256,81,0.15
130,Shallow h=8 do=0.4 wd=0.3,4.0483,2.8733,1.175,164,0.17
131,"Deep h=16,4 do=0.5 wd=0.15 lr=0.02",3.0767,2.8707,0.206,118,0.23
132,"Deep h=16,4 do=0.6 wd=0.3 lr=0.02",2.6543,2.869,-0.2147,81,0.16
133,"Deep h=8,4 do=0.6 wd=0.1 lr=0.02",2.7274,2.8613,-0.1339,84,0.16
134,"Deep h=12,6 do=0.4 wd=0.15 lr=0.01",2.8352,2.8593,-0.0241,92,0.16
135,"Deep h=8,4 do=0.4 wd=0.2 lr=0.005",2.6787,2.859,-0.1803,81,0.15
136,"Deep h=8,4 do=0.4 wd=0.1 lr=0.02",3.1314,2.8554,0.276,106,0.2
137,"Deep h=16,4 do=0.3 wd=0.2 lr=0.01",2.8091,2.8521,-0.0431,90,0.17
138,"Deep h=16,4 do=0.6 wd=0.15 lr=0.02",2.8493,2.8507,-0.0014,81,0.16
139,"Deep h=20,10 do=0.6 wd=0.3 lr=0.005",2.8124,2.8369,-0.0245,88,0.19
140,"Deep h=8,4 do=0.6 wd=0.2 lr=0.02",2.8573,2.8351,0.0221,81,0.15
141,"Deep h=12,6 do=0.4 wd=0.3 lr=0.02",2.7917,2.8331,-0.0414,93,0.18
142,"Deep h=8,4 do=0.4 wd=0.1 lr=0.005",2.8487,2.8256,0.023,81,0.15
143,"Deep h=16,8 do=0.6 wd=0.3 lr=0.02",2.8415,2.8122,0.0293,84,0.15
144,"Deep h=12,6 do=0.4 wd=0.3 lr=0.005",2.8755,2.8091,0.0663,105,0.18
145,"Deep h=8,4 do=0.6 wd=0.15 lr=0.02",2.8425,2.8048,0.0377,88,0.16
146,Bottle n=6 e=20 do=0.5 wd=0.15,2.737,2.8023,-0.0654,81,0.19
147,"Deep h=8,4 do=0.6 wd=0.3 lr=0.01",2.8,2.8017,-0.0017,87,0.16
148,"Deep h=16,8 do=0.6 wd=0.15 lr=0.02",2.7329,2.7965,-0.0636,81,0.15
149,"Deep h=8,4 do=0.5 wd=0.15 lr=0.005",3.3917,2.794,0.5976,328,0.61
150,"Deep h=16,4 do=0.4 wd=0.3 lr=0.01",2.8835,2.7937,0.0897,99,0.19
151,"Deep h=12,6 do=0.3 wd=0.15 lr=0.02",3.549,2.7749,0.7741,252,0.43
152,Shallow h=12 do=0.7 wd=0.3,3.429,2.7731,0.6559,244,0.25
153,"Deep h=8,4 do=0.6 wd=0.3 lr=0.02",2.8975,2.759,0.1385,94,0.18
154,"Deep h=20,10 do=0.3 wd=0.3 lr=0.02",2.4259,2.7568,-0.3309,81,0.17
155,Bottle n=5 e=12 do=0.5 wd=0.1,2.7883,2.7509,0.0374,81,0.21
156,"Deep h=16,4 do=0.6 wd=0.2 lr=0.02",2.8102,2.7501,0.0601,81,0.16
157,"Deep h=8,4 do=0.4 wd=0.3 lr=0.01",2.7378,2.7499,-0.0122,81,0.15
158,Bottle n=3 e=16 do=0.4 wd=0.15,2.7019,2.7432,-0.0413,81,0.21
159,Shallow h=8 do=0.7 wd=0.3,3.432,2.7412,0.6907,211,0.21
160,Shallow h=8 do=0.4 wd=0.2,4.8811,2.7337,2.1474,274,0.28
161,Bottle n=3 e=12 do=0.5 wd=0.1,2.3666,2.7329,-0.3662,81,0.2
162,"Deep h=12,6 do=0.5 wd=0.2 lr=0.005",2.9421,2.7236,0.2185,95,0.18
163,"Deep h=12,6 do=0.5 wd=0.2 lr=0.02",3.3289,2.709,0.6199,126,0.24
164,"Deep h=20,10 do=0.6 wd=0.2 lr=0.01",2.7822,2.6881,0.0941,88,0.18
165,"Deep h=12,6 do=0.3 wd=0.15 lr=0.01",1.6296,2.6867,-1.0572,81,0.14
166,"Deep h=20,10 do=0.6 wd=0.1 lr=0.01",2.8282,2.6854,0.1429,87,0.18
